Date		Start:		End:		Hours:		Running Total:
4/16/17		10:15pm		12:30am		1.75		1.75
4/17/17		9:30am		12:20pm		3			4.75
4/17/17		10:30pm		2:00am		3.5			8.25
4/18/17		8:00am		9:00am		1			9.25
4/18/17		1:00pm		5:30pm		3			13.75
4/21/17		5:15pm		8:45pm		3.5			17.25
4/23/17		8:00pm		11:00pm		3			20.75
4/24/17		9:00pm		11:00pm		2			22.75
4/25/17		5:30pm		2:00am		8.5			31.25
4/26/17		6:30pm		8:00pm		1.5			32.75
4/28/17		8:00pm		12:00am		4			36.75
4/29/17		5:00pm		12:00am		7			43.75
4/30/17		12:00am		4:00am		4			47.75
5/2/17		4:30pm		10:00pm		6			53.75
5/3/17		4:30pm		12:00am		7.5			61.25
5/4/17		12:00am		7:30am		7.5			68.75
5/4/17		9:30am		4:00pm		6.5			75.25
